emoji_id,emoji_name,asset_path,animation_path,has_static_asset,has_animation_asset,category
109,左亲亲,assets/qq_emoji/109/png/109.png,assets/qq_emoji/109/apng/109.png,Yes,Yes,qqnt
110,吓,assets/qq_emoji/110/png/110.png,assets/qq_emoji/110/apng/110.png,Yes,Yes,qqnt
111,可怜,assets/qq_emoji/111/png/111.png,assets/qq_emoji/111/apng/111.png,Yes,Yes,qqnt
112,菜刀,assets/qq_emoji/112/png/112.png,assets/qq_emoji/112/apng/112.png,Yes,Yes,qqnt
114,篮球,assets/qq_emoji/114/png/114.png,assets/qq_emoji/114/apng/114.png,Yes,Yes,qqnt
116,示爱,assets/qq_emoji/116/png/116.png,assets/qq_emoji/116/apng/116.png,Yes,Yes,qqnt
118,抱拳,assets/qq_emoji/118/png/118.png,assets/qq_emoji/118/apng/118.png,Yes,Yes,qqnt
119,勾引,assets/qq_emoji/119/png/119.png,assets/qq_emoji/119/apng/119.png,Yes,Yes,qqnt
120,拳头,assets/qq_emoji/120/png/120.png,assets/qq_emoji/120/apng/120.png,Yes,Yes,qqnt
121,差劲,assets/qq_emoji/121/png/121.png,assets/qq_emoji/121/apng/121.png,Yes,Yes,qqnt
122,爱你,,,No,No,qqnt
123,NO,assets/qq_emoji/123/png/123.png,assets/qq_emoji/123/apng/123.png,Yes,Yes,qqnt
124,OK,assets/qq_emoji/124/png/124.png,assets/qq_emoji/124/apng/124.png,Yes,Yes,qqnt
125,转圈,assets/qq_emoji/125/png/125.png,assets/qq_emoji/125/apng/125.png,Yes,Yes,qqnt
129,挥手,assets/qq_emoji/129/png/129.png,assets/qq_emoji/129/apng/129.png,Yes,Yes,qqnt
137,鞭炮,assets/qq_emoji/137/png/137.png,assets/qq_emoji/137/apng/137.png,Yes,Yes,qqnt
144,喝彩,assets/qq_emoji/144/png/144.png,assets/qq_emoji/144/apng/144.png,Yes,Yes,qqnt
146,爆筋,assets/qq_emoji/146/png/146.png,assets/qq_emoji/146/apng/146.png,Yes,Yes,qqnt
